block_date,address,transfer_amount
2023-01-01,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,1.9337205780740202e+17
2023-01-02,0x24da31e7bb182cb2cabfef1d88db19c2ae1f5572,74572716775242.25
2023-01-03,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,1.281e+18
2023-01-04,0x24da31e7bb182cb2cabfef1d88db19c2ae1f5572,156119516604026.06
2023-01-05,0x41a086598de010774502558423dfbfd3b7f431d3,1e+24
2023-01-06,0xb622400807765e73107b7196f444866d7edf6f62,341508027060832.3
2023-01-07,0x0027449bf0887ca3e431d263ffdefb244d95b555,1.157920892373162e+59
2023-01-08,0x77d47afe50e1a932791275d73495d9a561c804cd,119084776116998.33
2023-01-09,0xb4f4a58ff2398ab9025f842b6035c39b1d63f585,133760757960570.6
2023-01-10,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,9.290242834100808e+16
2023-01-11,0x8c0d201ada6e808e421bc2075b8c73a7f8dae2e7,1000000002063989.6
2023-01-12,0x5467671cf99d785a985be28f191456449e534fbd,1.0000040000000442e+20
2023-01-13,0x0027449bf0887ca3e431d263ffdefb244d95b555,1.157920892373162e+59
2023-01-14,0x95b689697447158061d7777c36d3c440d59e98e3,3.0000525621495164e+16
2023-01-15,0x7a290cca270f06a392b97cf35ab735e58534cf05,1.0000000000107594e+18
2023-01-16,0x82c58c1b7ea50e08364827189946b87ffd2980ce,1.0000004000003013e+20
2023-01-17,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,3e+17
2023-01-18,0xa54d05edd97e0fc920718352c70884353c54084d,5353312771230589.0
2023-01-19,0x751a24e114cbad06395ef49ef7706fbad0cd0da7,1.0000000000250072e+20
2023-01-20,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2.7038958254071182e+20
2023-01-21,0xb79c983e9e5e42c234c26e6cec7113e5c06fd604,1.0000000002434268e+18
2023-01-22,0x6ca18593e2f10d4d5ba72b3cdf6ee460c652b3fc,9327973555520320.0
2023-01-23,0x53eb33df5c3ff890e07894d61635d05ac9e75d6a,1.000040000004565e+19
2023-01-24,0xa13c744b934fffce2147470ab114ffa9c22ad17d,1.0000000000001081e+19
2023-01-25,0x28cafb5554f71b3e5b102466c8a1afdabd647d79,1.0000000000000003e+23
2023-01-26,0xa07e0f4e4a6121a5ef137e77331f5a6412d8fc0e,1.000000000006e+30
2023-01-27,0x07eaf9a567981cdfc3edf1ddedfe22d96a63ddbc,1.000000000000002e+22
2023-01-28,0xb391413354f1d14498d41b741c8271dd8493d13f,1e+23
2023-01-29,0xb959a6576ba1e007f761ed27013f2261fb57f7b1,1e+21
2023-01-30,0x91db75cedb77916514736f057f59a945e5dc41ca,2e+24
2023-01-31,0x40ce1d9bb085f68dcc9b2f212ce236835ba9bf52,1.0000000000012709e+20
2023-02-01,0x27228d736935e00ffce7161782c54caa4be2a375,1.967985762386962e+70
2023-02-02,0xc51220a69630a5e5ed05689db9b221f3031e5a11,8.227306826706677e+21
2023-02-03,0xcac674b7ad493f0f29530000cd23da5ba75e09d1,1000000000000000.0
2023-02-04,0x2ae8ff581c386d2087fac2d6a904991e71685b42,1.0000000000000246e+20
2023-02-05,0x161cddfb1fb7921a01d45c147f44670bb060ace5,7e+22
2023-02-06,0xa918897bd10d6dee614470c24a061b78b021b3a9,1.3419524247919196e+16
2023-02-07,0x5d45bca8126208d01387f4d2e80007a3dfdd3f7f,1.0000000000000233e+22
2023-02-08,0x78132543d8e20d2417d8a07d9ae199d458a0d581,32768138325564.06
2023-02-09,0xb64499f97978816741368678d8c3c069528c43d1,1e+23
2023-02-10,0x0027449bf0887ca3e431d263ffdefb244d95b555,2.3158417847463239e+58
2023-02-11,0x9a2e92f57eb9aedf260d091c314a7f52ef0461a1,3.08640295987107e+58
2023-02-12,0x062c65de6c5b2b8707b89bf17ea88eb1cef81e72,2.099999999999e+25
2023-02-13,0x3c6ff50c9ec362efa359317009428d52115fe643,2e+25
2023-02-14,0x161cddfb1fb7921a01d45c147f44670bb060ace5,1.3442542703014733e+22
2023-02-15,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2.068679267e+17
2023-02-16,0xfd957f21bd95e723645c07c48a2d8acb8ffb3794,119748003770156.84
2023-02-17,0xa90d6583ed5d5b2baac81100183103b4dcb77dcd,7981406218451236.0
2023-02-18,0x2f9678085acf1897f63a102e9f7cb835609158d1,64537133482420.03
2023-02-19,0x78132543d8e20d2417d8a07d9ae199d458a0d581,112024124220168.33
